Task ID,Task Description,Deadline,Priority,Assigned User,User Workload,Past Task Behavior,Category,Status,Time Taken (hours),deadline_days_remaining,task_length,has_keyword_urgent,is_weekend_deadline,user_current_load,past_behavior_score,category_encoded,status_encoded,priority_encoded,Predicted Priority
T0204,Resolve payment gateway timeout issue,2025-05-26,High,User_10,7,delayed,Testing,In Progress,0.0,-2.0,5.0,0.0,0.0,,,5.0,1.0,0.0,2
T0267,Deploy hotfix for customer complaints,2025-06-06,High,User_6,6,delayed,Documentation,Pending,0.0,9.0,5.0,0.0,0.0,,,3.0,2.0,0.0,2
T0153,Write integration tests for API,2025-06-01,Medium,User_5,1,delayed,Development,Completed,6.2,4.0,5.0,0.0,1.0,,,2.0,0.0,2.0,2
T0010,Update internal documentation,2025-06-07,Low,User_5,9,on-time,Documentation,Completed,8.4,10.0,3.0,0.0,1.0,,,3.0,0.0,1.0,2
T0234,Resolve payment gateway timeout issue,2025-06-03,High,User_10,7,delayed,Development,Completed,5.9,6.0,5.0,0.0,0.0,,,2.0,0.0,0.0,2
T0227,Fix critical bug in deployment pipeline,2025-06-08,High,User_7,3,on-time,Documentation,Completed,4.9,11.0,6.0,1.0,1.0,,,3.0,0.0,0.0,1
T0197,Update user guides,2025-06-03,Medium,User_7,5,late,Design,Completed,10.3,6.0,3.0,0.0,0.0,,,0.0,0.0,2.0,2
T0110,Write integration tests for API,2025-06-03,Medium,User_3,1,on-time,DevOps,Pending,0.0,6.0,5.0,0.0,0.0,,,1.0,2.0,2.0,2
T0006,Send status update to manager,2025-06-08,Low,User_1,10,delayed,Documentation,In Progress,0.0,11.0,5.0,0.0,1.0,,,3.0,1.0,1.0,2
T0176,Write integration tests for API,2025-06-09,Medium,User_5,10,on-time,Management,Pending,0.0,12.0,5.0,0.0,0.0,,,4.0,2.0,2.0,1
T0238,Fix critical bug in deployment pipeline,2025-05-26,High,User_1,10,delayed,Design,Pending,0.0,-2.0,6.0,1.0,0.0,,,0.0,2.0,0.0,1
T0058,Organize shared team files,2025-05-27,Low,User_1,4,on-time,DevOps,In Progress,0.0,-1.0,4.0,0.0,0.0,,,1.0,1.0,1.0,2
T0219,Patch security vulnerability in auth system,2025-05-31,High,User_1,2,late,Development,Completed,11.2,3.0,6.0,0.0,1.0,,,2.0,0.0,0.0,0
T0046,Clean up old logs from server,2025-06-09,Low,User_8,1,delayed,Design,Pending,0.0,12.0,6.0,0.0,0.0,,,0.0,2.0,1.0,1
T0183,Create UI wireframes for feature,2025-05-28,Medium,User_1,7,late,Management,In Progress,0.0,0.0,5.0,0.0,0.0,,,4.0,1.0,2.0,2
T0222,Restore database from backup,2025-06-04,High,User_7,10,late,Development,In Progress,0.0,7.0,4.0,0.0,0.0,,,2.0,1.0,0.0,2
T0290,Restore database from backup,2025-05-27,High,User_9,9,on-time,Design,Pending,0.0,-1.0,4.0,0.0,0.0,,,0.0,2.0,0.0,2
T0212,Deploy hotfix for customer complaints,2025-05-30,High,User_6,3,delayed,DevOps,Pending,0.0,2.0,5.0,0.0,0.0,,,1.0,2.0,0.0,2
T0149,Write integration tests for API,2025-06-01,Medium,User_9,10,late,Management,Pending,0.0,4.0,5.0,0.0,1.0,,,4.0,2.0,2.0,1
T0166,Update user guides,2025-05-29,Medium,User_7,7,on-time,Testing,Pending,0.0,1.0,3.0,0.0,0.0,,,5.0,2.0,2.0,2
T0079,Schedule weekly team sync,2025-05-30,Low,User_5,4,on-time,Testing,Pending,0.0,2.0,4.0,0.0,0.0,,,5.0,2.0,1.0,2
T0114,Update user guides,2025-05-27,Medium,User_7,8,late,Management,In Progress,0.0,-1.0,3.0,0.0,0.0,,,4.0,1.0,2.0,2
T0250,Deploy hotfix for customer complaints,2025-06-07,High,User_7,6,late,DevOps,Pending,0.0,10.0,5.0,0.0,1.0,,,1.0,2.0,0.0,2
T0251,Resolve payment gateway timeout issue,2025-06-02,High,User_3,10,on-time,Management,Completed,11.0,5.0,5.0,0.0,0.0,,,4.0,0.0,0.0,2
T0105,Write integration tests for API,2025-05-27,Medium,User_2,8,on-time,Management,In Progress,0.0,-1.0,5.0,0.0,0.0,,,4.0,1.0,2.0,2
T0043,Update internal documentation,2025-05-30,Low,User_5,7,on-time,Testing,Completed,3.9,2.0,3.0,0.0,0.0,,,5.0,0.0,1.0,2
